dataset,variable,label,n_valid,n_total
ZA10100_cross2025,q36b,"Spitzenpolitiker:in: Links-Rechts-Einstufung, F. Merz",6673,7337
ZA10100_cross2025,q36c,"Spitzenpolitiker:in: Links-Rechts-Einstufung, R. Habeck",6514,7337
ZA10100_cross2025,q36d,"Spitzenpolitiker:in: Links-Rechts-Einstufung, A. Weidel",6745,7337
ZA10100_cross2025,q57a,"Koalitionen: Skalometer, CDU/CSU, SPD",6868,7337
ZA10100_cross2025,q57b,"Koalitionen: Skalometer, CDU/CSU, GRUENE",6580,7337
ZA10100_cross2025,q57c,"Koalitionen: Skalometer, CDU/CSU, GRUENE, FDP",6581,7337
ZA10100_cross2025,q57d,"Koalitionen: Skalometer, CDU/CSU, SPD, GRUENE",6635,7337
ZA10100_cross2025,q57e,"Koalitionen: Skalometer, CDU/CSU, SPD, FDP",6606,7337
ZA10100_cross2025,q57f,"Koalitionen: Skalometer, SPD, GRUENE, FDP",6734,7337
ZA10100_cross2025,q57g,"Koalitionen: Skalometer, SPD, GRUENE",6758,7337
ZA10100_cross2025,q57h,"Koalitionen: Skalometer, CDU/CSU, FDP",6709,7337
ZA10100_cross2025,q57i,"Koalitionen: Skalometer, CDU/CSU, AfD",6841,7337
ZA10100_cross2025,q57j,"Koalitionen: Skalometer, AfD, BSW",6746,7337
ZA10100_cross2025,q58d,"Koalitionspartner: Erwartungen, SPD",6963,7337
ZA10100_cross2025,q58a,"Koalitionspartner: Erwartungen, CDU/CSU",6962,7337
ZA10100_cross2025,q58f,"Koalitionspartner: Erwartungen, GRUENE",6965,7337
ZA10100_cross2025,q58e,"Koalitionspartner: Erwartungen, FDP",6966,7337
ZA10100_cross2025,q58h,"Koalitionspartner: Erwartungen, AfD",6967,7337
ZA10100_cross2025,q58g,"Koalitionspartner: Erwartungen, DIE LINKE",6966,7337
ZA10100_cross2025,q58m,"Koalitionspartner: Erwartungen, BSW",6967,7337
ZA10100_cross2025,q58x,"Koalitionspartner: Erwartungen, andere",6967,7337
ZA10100_cross2025,q5,Politisches Wissen: Erst/Zweitstimme,6802,7337
ZA10100_cross2025,q5rf,"Politisches Wissen: Erst/Zweitstimme, richtig/falsch",6802,7337
ZA10100_cross2025,q19s,"Politische Probleme: wichtigstes, offen",0,7337
ZA10100_cross2025,q20a,"Politische Probleme: wichtigstes, Loesungskompetenz (Version A)",6097,7337
ZA10100_cross2025,q20b,"Politische Probleme: wichtigstes, Loesungskompetenz (Version B)",6097,7337
ZA10100_cross2025,q21s,"Politische Probleme: zweitwichtigstes, offen",0,7337
ZA10100_cross2025,q22a,"Politische Probleme: zweitwichtigstes, Loesungskompetenz (Version A)",6066,7337
ZA10100_cross2025,q22b,"Politische Probleme: zweitwichtigstes, Loesungskompetenz (Version B)",6066,7337
ZA10100_cross2025,q12a,"Einstellungen: Integritaet von Wahlen, faire Praesentationschancen im WK",7257,7337
ZA10100_cross2025,q12b,"Einstellungen: Integritaet von Wahlen, BTW korrekt und fair durchgefuehrt",7231,7337
ZA10100_cross2025,q12c,"Einstellungen: Integritaet von Wahlen, Briefwahl sicheres Verfahren",7153,7337
ZA10100_cross2025,q12d,"Einstellungen: Integritaet von Wahlen, Einfluss aus dem Ausland auf BTW",7179,7337
ZA10100_cross2025,q32,"Wahlberechtigung: Recall, BTW 2021",6962,7337
ZA10100_cross2025,q33,"Wahlbeteiligung: Recall, BTW 2021",6748,7337
ZA10100_cross2025,q34aa,"Wahlentscheidung: Recall, BTW 2021, Erststimme (Version A)",5666,7337
ZA10100_cross2025,q34ab,"Wahlentscheidung: Recall, BTW 2021, Erststimme (Version B)",5666,7337
ZA10100_cross2025,q34ba,"Wahlentscheidung: Recall, BTW 2021, Zweitstimme (Version A)",5647,7337
ZA10100_cross2025,q34bb,"Wahlentscheidung: Recall, BTW 2021, Zweitstimme (Version B)",5647,7337
ZA10100_cross2025,q117,"Einstellungen: Unterschied, wer regiert",7314,7337
ZA10100_cross2025,q118,"Einstellungen: Unterschied, was man waehlt",7132,7337
ZA10100_cross2025,q141,Parteien: Interessenvertretung,6447,7337
ZA10100_cross2025,q142a,"Parteien: Interessenvertretung, welche (Version A)",5136,7337
ZA10100_cross2025,q142b,"Parteien: Interessenvertretung, welche (Version B)",5136,7337
ZA10100_cross2025,q17d,"Parteien: Skalometer, SPD",7167,7337
ZA10100_cross2025,q17b,"Parteien: Skalometer, CDU",7176,7337
ZA10100_cross2025,q17c,"Parteien: Skalometer, CSU",7076,7337
ZA10100_cross2025,q17f,"Parteien: Skalometer, GRUENE",7122,7337
ZA10100_cross2025,q17e,"Parteien: Skalometer, FDP",7073,7337
ZA10100_cross2025,q17h,"Parteien: Skalometer, AfD",7112,7337
ZA10100_cross2025,q17g,"Parteien: Skalometer, DIE LINKE",7079,7337
ZA10100_cross2025,q17m,"Parteien: Skalometer, BSW",7013,7337
ZA10100_cross2025,q18a,"Spitzenpolitiker:in: Skalometer, O. Scholz",7218,7337
ZA10100_cross2025,q18b,"Spitzenpolitiker:in: Skalometer, F. Merz",7196,7337
ZA10100_cross2025,q18c,"Spitzenpolitiker:in: Skalometer, R. Habeck",7144,7337
ZA10100_cross2025,q18d,"Spitzenpolitiker:in: Skalometer, Ch. Lindner",7149,7337
ZA10100_cross2025,q18e,"Spitzenpolitiker:in: Skalometer, A. Weidel",7181,7337
ZA10100_cross2025,q18f,"Spitzenpolitiker:in: Skalometer, J. van Aken",5351,7337
ZA10100_cross2025,q18g,"Spitzenpolitiker:in: Skalometer, S. Wagenknecht",7150,7337
ZA10100_cross2025,q35d,"Parteien: Links-Rechts-Einstufung, SPD",6853,7337
ZA10100_cross2025,q35b,"Parteien: Links-Rechts-Einstufung, CDU",6861,7337
ZA10100_cross2025,q35c,"Parteien: Links-Rechts-Einstufung, CSU",6758,7337
ZA10100_cross2025,q35f,"Parteien: Links-Rechts-Einstufung, GRUENE",6777,7337
ZA10100_cross2025,q35e,"Parteien: Links-Rechts-Einstufung, FDP",6659,7337
ZA10100_cross2025,q35h,"Parteien: Links-Rechts-Einstufung, AfD",6878,7337
ZA10100_cross2025,q35g,"Parteien: Links-Rechts-Einstufung, DIE LINKE",6849,7337
ZA10100_cross2025,q35m,"Parteien: Links-Rechts-Einstufung, BSW",6423,7337
ZA10100_cross2025,q37,Links-Rechts-Einstufung: Ego,6981,7337
ZA10100_cross2025,q119,Demokratie: Zufriedenheit (4er Skala),7320,7337
ZA10100_cross2025,q120,Parteineigung,7291,7337
ZA10100_cross2025,q121,Parteineigung: Nachfrage,4490,7337
ZA10100_cross2025,q122a,Parteineigung: Partei (Version A),5276,7337
ZA10100_cross2025,q122b,Parteineigung: Partei (Version B),5276,7337
ZA10100_cross2025,q123,Parteineigung: Staerke,5273,7337
ZA10100_cross2025,q39d,"Positionsissue: Steuern vs. Sozialleistungen, SPD",6071,7337
ZA10100_cross2025,q39b,"Positionsissue: Steuern vs. Sozialleistungen, CDU",6110,7337
ZA10100_cross2025,q39c,"Positionsissue: Steuern vs. Sozialleistungen, CSU",5887,7337
ZA10100_cross2025,q39f,"Positionsissue: Steuern vs. Sozialleistungen, GRUENE",5834,7337
ZA10100_cross2025,q39e,"Positionsissue: Steuern vs. Sozialleistungen, FDP",5777,7337
ZA10100_cross2025,q39h,"Positionsissue: Steuern vs. Sozialleistungen, AfD",5443,7337
ZA10100_cross2025,q39g,"Positionsissue: Steuern vs. Sozialleistungen, DIE LINKE",5684,7337
ZA10100_cross2025,q39m,"Positionsissue: Steuern vs. Sozialleistungen, BSW",4679,7337
ZA10100_cross2025,q40,"Positionsissue: Steuern vs. Sozialleistungen, Ego",7197,7337
ZA10100_cross2025,q41,"Positionsissue: Steuern vs. Sozialleistungen, Salienz",7303,7337
ZA10100_cross2025,q42d,"Positionsissue: Zuwanderung, SPD",6650,7337
ZA10100_cross2025,q42b,"Positionsissue: Zuwanderung, CDU",6771,7337
ZA10100_cross2025,q42c,"Positionsissue: Zuwanderung, CSU",6596,7337
ZA10100_cross2025,q42f,"Positionsissue: Zuwanderung, GRUENE",6537,7337
ZA10100_cross2025,q42e,"Positionsissue: Zuwanderung, FDP",5989,7337
ZA10100_cross2025,q42h,"Positionsissue: Zuwanderung, AfD",6849,7337
ZA10100_cross2025,q42g,"Positionsissue: Zuwanderung, DIE LINKE",6158,7337
ZA10100_cross2025,q42m,"Positionsissue: Zuwanderung, BSW",5533,7337
ZA10100_cross2025,q43,"Positionsissue: Zuwanderung, Ego",7251,7337
ZA10100_cross2025,q44,"Positionsissue: Zuwanderung, Salienz",7308,7337
ZA10100_cross2025,q47d,"Positionsissue: Klimawandel, SPD",6413,7337
ZA10100_cross2025,q47b,"Positionsissue: Klimawandel, CDU",6528,7337
ZA10100_cross2025,q47c,"Positionsissue: Klimawandel, CSU",6368,7337
ZA10100_cross2025,q47f,"Positionsissue: Klimawandel, GRUENE",6694,7337
ZA10100_cross2025,q47e,"Positionsissue: Klimawandel, FDP",6139,7337
ZA10100_cross2025,q47h,"Positionsissue: Klimawandel, AfD",6144,7337
ZA10100_cross2025,q47g,"Positionsissue: Klimawandel, DIE LINKE",5564,7337
ZA10100_cross2025,q47m,"Positionsissue: Klimawandel, BSW",4741,7337
ZA10100_cross2025,q48,"Positionsissue: Klimawandel, Ego",7253,7337
ZA10100_cross2025,q49,"Positionsissue: Klimawandel, Salienz",7299,7337
ZA10100_cross2025,q128d,"Parteikontakt: Wahlveranstaltungen, SPD",7305,7337
ZA10100_cross2025,q128a,"Parteikontakt: Wahlveranstaltungen, CDU/DSU",7305,7337
ZA10100_cross2025,q128f,"Parteikontakt: Wahlveranstaltungen, GRUENE",7305,7337
ZA10100_cross2025,q128e,"Parteikontakt: Wahlveranstaltungen, FDP",7305,7337
ZA10100_cross2025,q128h,"Parteikontakt: Wahlveranstaltungen, AfD",7305,7337
ZA10100_cross2025,q128g,"Parteikontakt: Wahlveranstaltungen, DIE LINKE",7304,7337
ZA10100_cross2025,q128m,"Parteikontakt: Wahlveranstaltungen, BSW",7305,7337
ZA10100_cross2025,q128x,"Parteikontakt: Wahlveranstaltungen, andere",7304,7337
ZA10100_cross2025,q131d,"Parteikontakt: Informationsmaterial, SPD",7265,7337
ZA10100_cross2025,q131a,"Parteikontakt: Informationsmaterial, CDU/CSU",7266,7337
ZA10100_cross2025,q131f,"Parteikontakt: Informationsmaterial, GRUENE",7265,7337
ZA10100_cross2025,q131e,"Parteikontakt: Informationsmaterial, FDP",7266,7337
ZA10100_cross2025,q131h,"Parteikontakt: Informationsmaterial, AfD",7265,7337
ZA10100_cross2025,q131g,"Parteikontakt: Informationsmaterial, DIE LINKE",7266,7337
ZA10100_cross2025,q131m,"Parteikontakt: Informationsmaterial, BSW",7266,7337
ZA10100_cross2025,q131x,"Parteikontakt: Informationsmaterial, andere",7266,7337
ZA10100_cross2025,q132d,"Parteikontakt: Informationsmaterial, Kandidat:in, SPD",2031,7337
ZA10100_cross2025,q132a,"Parteikontakt: Informationsmaterial, Kandidat:in, CDU/CSU",2128,7337
ZA10100_cross2025,q132f,"Parteikontakt: Informationsmaterial, Kandidat:in, GRUENE",1648,7337
ZA10100_cross2025,q132e,"Parteikontakt: Informationsmaterial, Kandidat:in, FDP",885,7337
ZA10100_cross2025,q132h,"Parteikontakt: Informationsmaterial, Kandidat:in, AfD",1677,7337
ZA10100_cross2025,q132g,"Parteikontakt: Informationsmaterial, Kandidat:in, DIE LINKE",1195,7337
ZA10100_cross2025,q132m,"Parteikontakt: Informationsmaterial, Kandidat:in, BSW",813,7337
ZA10100_cross2025,q132x,"Parteikontakt: Informationsmaterial, Kandidat:in, andere",231,7337
ZA10100_cross2025,q134d,"Parteikontakt: Plakate, SPD",7293,7337
ZA10100_cross2025,q134a,"Parteikontakt: Plakate, CDU/CSU",7292,7337
ZA10100_cross2025,q134f,"Parteikontakt: Plakate, GRUENE",7293,7337
ZA10100_cross2025,q134e,"Parteikontakt: Plakate, FDP",7293,7337
ZA10100_cross2025,q134h,"Parteikontakt: Plakate, AfD",7293,7337
ZA10100_cross2025,q134g,"Parteikontakt: Plakate, DIE LINKE",7293,7337
ZA10100_cross2025,q134m,"Parteikontakt: Plakate, BSW",7293,7337
ZA10100_cross2025,q134x,"Parteikontakt: Plakate, andere",7292,7337
ZA10100_cross2025,q136d,"Parteikontakt: Strassenwahlkampf, SPD",7270,7337
ZA10100_cross2025,q136a,"Parteikontakt: Strassenwahlkampf, CDU/CSU",7270,7337
ZA10100_cross2025,q136f,"Parteikontakt: Strassenwahlkampf, GRUENE",7270,7337
ZA10100_cross2025,q136e,"Parteikontakt: Strassenwahlkampf, FDP",7270,7337
ZA10100_cross2025,q136h,"Parteikontakt: Strassenwahlkampf, AfD",7270,7337
ZA10100_cross2025,q136g,"Parteikontakt: Strassenwahlkampf, DIE LINKE",7270,7337
ZA10100_cross2025,q136m,"Parteikontakt: Strassenwahlkampf, BSW",7270,7337
ZA10100_cross2025,q136x,"Parteikontakt: Strassenwahlkampf, andere",7270,7337
ZA10100_cross2025,q137d,"Parteikontakt: Werbesendungen, SPD",7290,7337
ZA10100_cross2025,q137a,"Parteikontakt: Werbesendungen, CDU/CSU",7290,7337
ZA10100_cross2025,q137f,"Parteikontakt: Werbesendungen, GRUENE",7290,7337
ZA10100_cross2025,q137e,"Parteikontakt: Werbesendungen, FDP",7290,7337
ZA10100_cross2025,q137h,"Parteikontakt: Werbesendungen, AfD",7290,7337
ZA10100_cross2025,q137g,"Parteikontakt: Werbesendungen, DIE LINKE",7290,7337
ZA10100_cross2025,q137m,"Parteikontakt: Werbesendungen, BSW",7290,7337
ZA10100_cross2025,q137x,"Parteikontakt: Werbesendungen, andere",7291,7337
ZA10100_cross2025,q138d,"Parteikontakt: direkter Kontakt, SPD",7296,7337
ZA10100_cross2025,q138a,"Parteikontakt: direkter Kontakt, CDU/CSU",7295,7337
ZA10100_cross2025,q138f,"Parteikontakt: direkter Kontakt, GRUENE",7296,7337
ZA10100_cross2025,q138e,"Parteikontakt: direkter Kontakt, FDP",7296,7337
ZA10100_cross2025,q138h,"Parteikontakt: direkter Kontakt, AfD",7296,7337
ZA10100_cross2025,q138g,"Parteikontakt: direkter Kontakt, DIE LINKE",7296,7337
ZA10100_cross2025,q138m,"Parteikontakt: direkter Kontakt, BSW",7296,7337
ZA10100_cross2025,q138x,"Parteikontakt: direkter Kontakt, andere",7296,7337
ZA10100_cross2025,q139d,"Parteikontakt: soziale Netzwerke, SPD",7275,7337
ZA10100_cross2025,q139a,"Parteikontakt: soziale Netzwerke, CDU/CSU",7275,7337
ZA10100_cross2025,q139f,"Parteikontakt: soziale Netzwerke, GRUENE",7275,7337
ZA10100_cross2025,q139e,"Parteikontakt: soziale Netzwerke, FDP",7275,7337
ZA10100_cross2025,q139h,"Parteikontakt: soziale Netzwerke, AfD",7275,7337
ZA10100_cross2025,q139g,"Parteikontakt: soziale Netzwerke, DIE LINKE",7275,7337
ZA10100_cross2025,q139m,"Parteikontakt: soziale Netzwerke, BSW",7275,7337
ZA10100_cross2025,q139x,"Parteikontakt: soziale Netzwerke, andere",7274,7337
ZA10100_cross2025,q61d,"Wahlkreiskandidierende: Wahlkampffuehrung, SPD",3788,7337
ZA10100_cross2025,q61a,"Wahlkreiskandidierende: Wahlkampffuehrung, CDU/CSU",4107,7337
ZA10100_cross2025,q61f,"Wahlkreiskandidierende: Wahlkampffuehrung, GRUENE",3518,7337
ZA10100_cross2025,q61e,"Wahlkreiskandidierende: Wahlkampffuehrung, FDP",2946,7337
ZA10100_cross2025,q61h,"Wahlkreiskandidierende: Wahlkampffuehrung, AfD",3592,7337
ZA10100_cross2025,q61g,"Wahlkreiskandidierende: Wahlkampffuehrung, DIE LINKE",3081,7337
ZA10100_cross2025,q61m,"Wahlkreiskandidierende: Wahlkampffuehrung, BSW",2942,7337
ZA10100_cross2025,q1,Politisches Interesse,7315,7337
ZA10100_cross2025,q125a,"Einstellungen: Out-Groups, Minderheiten sollen sich anpassen",7281,7337
ZA10100_cross2025,q125b,"Einstellungen: Out-Groups, Wille der Mehrheit hat Vorrang",7244,7337
ZA10100_cross2025,q125c,"Einstellungen: Out-Groups, Immigration gut fuer Wirtschaft",7280,7337
ZA10100_cross2025,q125d,"Einstellungen: Out-Groups, deutsche Kultur durch Immigration bedroht",7277,7337
ZA10100_cross2025,q125e,"Einstellungen: Out-Groups, Immigration erhoeht Kriminalitaet in BRD",7290,7337
ZA10100_cross2025,q27f,"Einstellungen: Issuebatterie I, europ. Einigung vorantreiben",7265,7337
ZA10100_cross2025,q27g,"Einstellungen: Issuebatterie I, Massnahmen zur Gleichstellung zu weit",7278,7337
ZA10100_cross2025,q27h,"Einstellungen: Issuebatterie I, Abgaben auf fossile Brennstoffe erhoehen",7279,7337
ZA10100_cross2025,q27i,"Einstellungen: Issuebatterie I, Mietpreise staerker regulieren",7285,7337
ZA10100_cross2025,q27j,"Einstellungen: Issuebatterie I, Schuldenbremse lockern",7273,7337
ZA10100_cross2025,q126a,"Nat. Identitaet: Symb. Grenzen, in D geboren",7286,7337
ZA10100_cross2025,q126b,"Nat. Identitaet: Symb. Grenzen, dt. Vorfahren haben",7271,7337
