id,year,treat_no_well_perform_2014,own_econ_bad,own_econ_retrospect_worse,own_econ_gov_responsible_not,own_econ_prospect_worse,gen_econ_bad,gen_econ_retrospect_worse,gen_econ_gov_responsible_not,gen_econ_prospect_worse,cdu_performance_satisfied,csu_performance_satisfied,spd_performance_satisfied
18663,2014,,2,2,4,3,2,3,3,3,7,7,7
19707,2014,,4,5,2,4,3,4,2,4,4,4,4
20718,2014,,3,3,3,3,2,2,3,4,3,2,5
21737,2015,0,4,3,1,4,2,3,1,4,5,5,3
22766,2015,1,3,3,3,3,3,3,3,3,1,1,2
23785,2015,1,3,3,5,2,2,3,2,3,9,9,7
24812,2015,1,1,1,2,3,2,2,2,3,10,8,9
25843,2016,,2,1,3,2,2,1,3,2,11,6,9
26858,2016,1,1,3,5,3,2,2,2,3,11,6,10
27881,2016,1,3,3,3,3,3,3,3,3,9,7,8
28904,2016,,2,2,4,2,2,3,3,3,8,6,7
29926,2017,,2,4,4,3,2,4,2,3,9,11,8
30934,2017,,2,2,5,3,2,1,4,4,2,1,7
32018,2017,,2,3,5,4,3,3,4,4,1,3,2
33103,2017,,3,3,3,3,3,3,3,3,2,2,8
34119,2018,1,5,3,1,3,3,3,1,3,4,5,10
35225,2018,,2,2,1,3,4,4,2,5,8,8,8
36327,2018,,4,4,2,4,4,4,2,3,7,7,10
37433,2019,,3,4,4,4,2,4,3,4,4,1,4
38533,2019,,5,5,1,1,4,5,1,3,1,1,1
39634,2019,,3,3,3,3,3,3,3,3,2,2,2
40711,2020,,4,5,5,4,2,3,3,5,-99,-99,11
41804,2020,,4,4,3,4,4,3,3,3,8,10,8
42897,2020,,2,2,4,2,3,3,4,3,7,9,6
43975,2021,1,2,2,4,1,2,3,2,2,6,2,9
45094,2021,,3,3,5,3,2,3,3,3,9,3,6
46189,2021,,1,2,4,3,1,3,3,2,7,3,8
47877,2022,1,3,3,5,3,4,4,1,5,-94,-94,1
48989,2022,,2,3,3,3,2,4,4,4,-94,-94,5
50113,2022,,3,3,3,3,3,4,3,3,-94,-94,9
51232,2023,1,3,4,2,4,4,5,2,4,-94,-94,1
1157,2009,1,5,5,4,4,5,5,-94,4,7,7,-94
2288,2010,,-99,4,3,2,3,4,-94,2,4,3,-94
3424,2010,,4,4,4,4,3,2,2,2,10,7,-94
4562,2010,1,3,3,4,4,4,4,2,4,8,6,-94
5710,2010,,4,3,1,4,3,3,3,4,1,1,-94
6853,2011,,3,2,4,3,3,3,2,3,2,2,-94
7991,2011,1,2,2,3,2,3,3,4,3,6,6,-94
10293,2011,1,2,3,5,3,2,2,5,4,1,1,-94
12422,2012,,3,4,3,4,2,1,2,2,11,10,-94
15578,2013,,3,3,3,3,3,3,3,4,4,4,-94
16591,2013,,3,3,5,3,3,4,3,2,6,5,-94
19708,2014,1,2,2,4,3,2,2,3,3,5,5,4
21738,2015,,1,2,3,2,1,4,2,4,7,6,5
22767,2015,1,1,1,5,2,2,2,4,2,7,7,7
23786,2015,,2,4,3,3,2,3,3,4,4,5,6
24813,2015,,5,3,4,3,3,2,3,2,1,1,1
25844,2016,0,3,2,3,2,2,3,2,3,10,3,9
26859,2016,,2,3,4,3,3,4,2,3,2,4,2
27882,2016,1,2,2,3,2,2,2,3,3,2,1,3
28905,2016,,2,2,4,-99,4,4,3,4,6,6,6
29927,2017,,3,3,2,2,2,2,3,2,11,7,11
30935,2017,,1,2,4,2,1,2,3,2,9,2,9
32019,2017,1,2,2,3,3,2,3,2,3,7,8,6
33104,2017,,3,3,5,3,3,3,3,3,6,6,6
34120,2018,,2,2,5,3,4,3,1,4,1,9,2
35226,2018,,1,2,2,2,1,1,1,2,9,7,7
36328,2018,,4,3,2,4,5,5,1,5,6,6,6
37434,2019,,2,3,5,3,2,4,2,3,10,10,7
38534,2019,1,3,3,2,3,1,3,4,3,3,1,8
39635,2019,,2,5,3,4,1,3,4,4,1,1,1
40712,2020,0,3,4,1,4,2,4,3,4,7,4,8
41805,2020,,5,4,1,4,5,5,1,5,1,1,1
42898,2020,,3,3,5,3,3,3,3,3,6,4,6
43976,2021,1,2,3,2,3,4,2,1,3,8,9,8
45095,2021,,1,3,3,3,2,2,3,3,3,2,8
46190,2021,,1,3,5,3,2,4,3,2,8,10,9
47878,2022,0,2,3,2,4,2,4,3,2,-94,-94,1
48990,2022,,3,2,3,2,4,4,3,2,-94,-94,8
50114,2022,1,4,4,1,4,5,5,1,5,-94,-94,1
51233,2023,,5,5,3,5,4,5,3,5,-94,-94,4
1158,2009,,3,3,2,3,3,3,-94,3,5,6,-94
2289,2010,,2,4,4,3,3,4,-94,2,9,7,-94
3425,2010,,2,3,4,2,3,4,3,3,4,4,-94
4563,2010,,3,4,3,3,3,3,3,3,6,6,-94
7992,2011,,4,5,-99,3,4,4,2,5,4,2,-94
9135,2011,,3,4,3,3,4,4,3,3,6,6,-94
10294,2011,,3,3,2,4,4,4,2,4,1,1,-94
11406,2012,,1,1,3,1,3,2,3,2,3,3,-94
12423,2012,1,1,3,5,3,2,3,3,3,8,4,-94
14531,2013,,3,4,2,4,2,2,3,3,6,6,-94
15579,2013,1,3,3,4,2,3,3,3,-99,9,6,-94
16592,2013,,2,3,5,4,2,3,4,4,1,1,-94
17640,2014,,1,1,5,3,2,2,4,3,9,2,5
19709,2014,,3,3,2,4,3,3,2,4,1,1,1
20719,2014,1,2,2,2,1,2,3,2,3,5,4,2
21739,2015,0,2,3,5,3,2,2,3,2,10,7,10
22768,2015,,3,3,2,3,4,3,1,3,8,8,8
23787,2015,,4,3,2,4,2,2,3,2,3,9,5
24814,2015,,4,3,5,2,2,4,2,3,3,2,4
25845,2016,,2,2,4,2,2,1,3,3,8,3,9
26860,2016,1,3,4,4,3,3,3,3,4,10,3,8
27883,2016,,3,3,5,2,2,2,3,3,7,5,7
28906,2016,,4,3,4,2,2,2,2,3,10,5,5
29928,2017,1,2,3,2,3,2,3,3,3,4,2,8
30936,2017,,2,1,5,3,2,2,5,3,5,5,2
32020,2017,,2,4,5,3,3,3,4,3,3,3,5
33105,2017,,3,4,2,3,2,2,3,3,10,9,7
34121,2018,,3,3,3,2,2,3,2,3,3,1,9
