OID_,WKR_NR,WKR_NAME,AGS,GEN,AREA,PERCENTAGE
1,1,Flensburg - Schleswig,01001,Flensburg,56631598.262539982795715,2.663664707674101
2,1,Flensburg - Schleswig,01051,Dithmarschen,3954321.175808219239116,0.185991320781352
3,1,Flensburg - Schleswig,01054,Nordfriesland,5320855.476399989798665,0.250266200883405
4,1,Flensburg - Schleswig,01058,Rendsburg-Eckernförde,3899333.987642275169492,0.183405000829496
5,1,Flensburg - Schleswig,01059,Schleswig-Flensburg,2050861660.763446331024170,96.462187077474084
6,2,Nordfriesland - Dithmarschen Nord,01051,Dithmarschen,688237300.239924669265747,25.021441005088114
7,2,Nordfriesland - Dithmarschen Nord,01054,Nordfriesland,2005177218.674158811569214,72.899890000602483
8,2,Nordfriesland - Dithmarschen Nord,01058,Rendsburg-Eckernförde,872347.424100798671134,0.031714918096519
9,2,Nordfriesland - Dithmarschen Nord,01059,Schleswig-Flensburg,7298224.577426506206393,0.265333040860037
10,3,Steinburg - Dithmarschen Süd,01004,Neumünster,331721.379154847702011,0.016519217438463
11,3,Steinburg - Dithmarschen Süd,01051,Dithmarschen,734996057.360237836837769,36.601679755704971
12,3,Steinburg - Dithmarschen Süd,01056,Pinneberg,3340690.750710829161108,0.166361291051707
13,3,Steinburg - Dithmarschen Süd,01058,Rendsburg-Eckernförde,4893482.188365878537297,0.243687930234745
14,3,Steinburg - Dithmarschen Süd,01060,Segeberg,210701315.476646840572357,10.492603322091234
15,3,Steinburg - Dithmarschen Süd,01061,Steinburg,1049597051.841896176338196,52.268328216650730
16,3,Steinburg - Dithmarschen Süd,03359,Stade,710630.430197095847689,0.035388308781070
17,4,Rendsburg-Eckernförde,01002,Kiel,927249.204210581374355,0.042988429663830
18,4,Rendsburg-Eckernförde,01004,Neumünster,545162.345155584742315,0.025274406301639
19,4,Rendsburg-Eckernförde,01051,Dithmarschen,1493082.601811072323471,0.069221171739789
