OID_,WKR_NR,WKR_NAME,AGS,GEN,AREA,PERCENTAGE
1,1,Flensburg – Schleswig,01001,Flensburg,56853484.960835985839367,2.673892598850835
2,1,Flensburg – Schleswig,01051,Dithmarschen,17133.781794434482435,0.000805823818224
3,1,Flensburg – Schleswig,01054,Nordfriesland,269580.802658823959064,0.012678732245143
4,1,Flensburg – Schleswig,01058,Rendsburg-Eckernförde,100471.181665242547751,0.004725289034393
5,1,Flensburg – Schleswig,01059,Schleswig-Flensburg,2068913550.167866230010986,97.303668073590643
6,2,Nordfriesland – Dithmarschen Nord,01051,Dithmarschen,695702504.724081039428711,25.010340470267561
7,2,Nordfriesland – Dithmarschen Nord,01054,Nordfriesland,2085272972.790017127990723,74.965070082088602
8,2,Nordfriesland – Dithmarschen Nord,01058,Rendsburg-Eckernförde,4445.295057325948619,0.000159807305737
9,2,Nordfriesland – Dithmarschen Nord,01059,Schleswig-Flensburg,64632.031952360288415,0.002323506259410
10,3,Steinburg – Dithmarschen Süd,01004,Neumünster,6421.568623297094746,0.000319117605077
11,3,Steinburg – Dithmarschen Süd,01051,Dithmarschen,744964760.644975304603577,37.020763029964940
12,3,Steinburg – Dithmarschen Süd,01056,Pinneberg,65923.441496766099590,0.003276042350860
13,3,Steinburg – Dithmarschen Süd,01058,Rendsburg-Eckernförde,307040.267341239901725,0.015258258616228
14,3,Steinburg – Dithmarschen Süd,01060,Segeberg,211138433.183335572481155,10.492450535017227
15,3,Steinburg – Dithmarschen Süd,01061,Steinburg,1054498368.197157144546509,52.402927315263980
16,3,Steinburg – Dithmarschen Süd,03359,Stade,45615.935266616797890,0.002266867936724
17,4,Rendsburg-Eckernförde,01002,Kiel,86900.777161215053638,0.004016625738675
18,4,Rendsburg-Eckernförde,01004,Neumünster,61646.620959777224925,0.002849357767998
19,4,Rendsburg-Eckernförde,01051,Dithmarschen,125587.167707109765615,0.005804742681689
20,4,Rendsburg-Eckernförde,01057,Plön,20160.295655766662094,0.000931825526485
21,4,Rendsburg-Eckernförde,01058,Rendsburg-Eckernförde,2162739480.390167236328125,99.963606158179786
22,4,Rendsburg-Eckernförde,01059,Schleswig-Flensburg,223635.557816868764348,0.010336620303680
23,4,Rendsburg-Eckernförde,01060,Segeberg,889.848985559704033,0.000041129555519
24,4,Rendsburg-Eckernförde,01061,Steinburg,267162.413631886651274,0.012348467551787
25,5,Kiel,01002,Kiel,119468292.261908903717995,83.529508035874841
26,5,Kiel,01057,Plön,34695.763131641455402,0.024258487088455
27,5,Kiel,01058,Rendsburg-Eckernförde,23521426.226368196308613,16.445645315523542
28,6,Plön – Neumünster,01002,Kiel,39872.698134686565027,0.003065437096619
29,6,Plön – Neumünster,01004,Neumünster,71753612.452780172228813,5.516461030206685
30,6,Plön – Neumünster,01055,Ostholstein,115942.493113746168092,0.008913728844355
31,6,Plön – Neumünster,01057,Plön,1082364572.857923269271851,83.212841591443691
32,6,Plön – Neumünster,01058,Rendsburg-Eckernförde,110866.689156826105318,0.008523497972791
33,6,Plön – Neumünster,01060,Segeberg,146330796.243293374776840,11.249999928943867
34,7,Pinneberg,01056,Pinneberg,662936325.361820340156555,99.989901611734183
35,7,Pinneberg,01060,Segeberg,8129.832610445038881,0.001226213033951
36,7,Pinneberg,01061,Steinburg,18570.654499131916964,0.002800989846529
37,7,Pinneberg,02000,Hamburg,33581.682458028262772,0.005065085433510
38,7,Pinneberg,03359,Stade,5491.287963852407302,0.000828244466658
39,8,Segeberg – Stormarn-Mitte,01053,Herzogtum Lauenburg,13187.262901950418382,0.000988591936951
40,8,Segeberg – Stormarn-Mitte,01055,Ostholstein,140569.053415319824126,0.010537852610088
41,8,Segeberg – Stormarn-Mitte,01056,Pinneberg,19714.292754803525895,0.001477895072313
42,8,Segeberg – Stormarn-Mitte,01057,Plön,125075.688566354452632,0.009376382206426
43,8,Segeberg – Stormarn-Mitte,01060,Segeberg,987054879.264253735542297,73.995225713181696
44,8,Segeberg – Stormarn-Mitte,01062,Stormarn,346541424.855981051921844,25.978708468874238
45,8,Segeberg – Stormarn-Mitte,02000,Hamburg,49157.896713208436267,0.003685154431930
46,9,Ostholstein – Stormarn-Nord,01003,Lübeck,67324.788124319980852,0.004388611491385
47,9,Ostholstein – Stormarn-Nord,01053,Herzogtum Lauenburg,20752.870574359523744,0.001352789794357
48,9,Ostholstein – Stormarn-Nord,01055,Ostholstein,1392922374.639771223068237,90.798579694945687
49,9,Ostholstein – Stormarn-Nord,01057,Plön,166548.124738917395007,0.010856551271252
50,9,Ostholstein – Stormarn-Nord,01060,Segeberg,131497.650763392826775,0.008571762604952
51,9,Ostholstein – Stormarn-Nord,01062,Stormarn,140760765.473055034875870,9.175584953204631
52,10,Herzogtum Lauenburg – Stormarn-Süd,01003,Lübeck,68321.001877282542409,0.005066055550640
53,10,Herzogtum Lauenburg – Stormarn-Süd,01053,Herzogtum Lauenburg,1070079617.553621053695679,79.347237850392645
