OID_,WKR_NR,WKR_NAME,AGS,GEN,AREA,PERCENTAGE
1,1,Flensburg – Schleswig,01001,Flensburg,56862097.284053400158882,2.674365668789353
2,1,Flensburg – Schleswig,01051,Dithmarschen,365422.296580821333919,0.017186718240517
3,1,Flensburg – Schleswig,01054,Nordfriesland,1133575.256847054231912,0.053314859892638
4,1,Flensburg – Schleswig,01058,Rendsburg-Eckernförde,685294.102957843337208,0.032231083788888
5,1,Flensburg – Schleswig,01059,Schleswig-Flensburg,2065785856.205320119857788,97.159039796013332
6,2,Nordfriesland – Dithmarschen Nord,01051,Dithmarschen,692643996.479930520057678,25.138343480951175
7,2,Nordfriesland – Dithmarschen Nord,01054,Nordfriesland,2034180352.623393297195435,73.827138712420677
8,2,Nordfriesland – Dithmarschen Nord,01058,Rendsburg-Eckernförde,75463.747817447467241,0.002738829214771
9,2,Nordfriesland – Dithmarschen Nord,01059,Schleswig-Flensburg,1195637.732734915567562,0.043393651222020
10,3,Steinburg – Dithmarschen Süd,01004,Neumünster,128585.051040292630205,0.006406794263688
11,3,Steinburg – Dithmarschen Süd,01051,Dithmarschen,737959100.844145059585571,36.769065267492863
12,3,Steinburg – Dithmarschen Süd,01056,Pinneberg,442469.611880826589186,0.022046200147838
13,3,Steinburg – Dithmarschen Süd,01058,Rendsburg-Eckernförde,1176235.987402120372280,0.058606361438310
14,3,Steinburg – Dithmarschen Süd,01060,Segeberg,210769839.585131615400314,10.501679536521420
15,3,Steinburg – Dithmarschen Süd,01061,Steinburg,1053448424.053856372833252,52.488428987007396
16,3,Steinburg – Dithmarschen Süd,03359,Stade,295152.160605022218078,0.014706057618523
17,4,Rendsburg-Eckernförde,01002,Kiel,343248.467835336166900,0.015887742002723
18,4,Rendsburg-Eckernförde,01004,Neumünster,391096.086258986266330,0.018102436861388
19,4,Rendsburg-Eckernförde,01051,Dithmarschen,763749.334528788342141,0.035351220817585
20,4,Rendsburg-Eckernförde,01057,Plön,541576.596207242691889,0.025067640620558
21,4,Rendsburg-Eckernförde,01058,Rendsburg-Eckernförde,2156230985.400816440582275,99.804208334468342
22,4,Rendsburg-Eckernförde,01059,Schleswig-Flensburg,1051521.324692652560771,0.048671155394909
23,4,Rendsburg-Eckernförde,01060,Segeberg,61637.817124632834748,0.002852993757738
24,4,Rendsburg-Eckernförde,01061,Steinburg,780459.945856162812561,0.036124695155727
25,5,Kiel,01002,Kiel,116640486.261745572090149,82.604658338432984
26,5,Kiel,01057,Plön,523276.004166829516180,0.370583464852014
27,5,Kiel,01058,Rendsburg-Eckernförde,23977399.648196797817945,16.980766878309467
28,6,Plön – Neumünster,01002,Kiel,393606.452238127763849,0.030260414600526
29,6,Plön – Neumünster,01004,Neumünster,71301999.453530699014664,5.481688760541465
30,6,Plön – Neumünster,01055,Ostholstein,1303467.919545239303261,0.100210449904062
31,6,Plön – Neumünster,01057,Plön,1079097984.500844717025757,82.960917484738488
32,6,Plön – Neumünster,01058,Rendsburg-Eckernförde,711896.948756390018389,0.054730547987016
33,6,Plön – Neumünster,01060,Segeberg,147336059.274929314851761,11.327177727690753
34,7,Pinneberg,01056,Pinneberg,661442756.762158036231995,99.606197630648296
35,7,Pinneberg,01060,Segeberg,1286944.376269244123250,0.193800044783648
36,7,Pinneberg,01061,Steinburg,528128.224153874325566,0.079530456311747
37,7,Pinneberg,02000,Hamburg,672902.433319353382103,0.101331902230585
38,7,Pinneberg,03359,Stade,50875.903053213383828,0.007661366312275
39,8,Segeberg – Stormarn-Mitte,01053,Herzogtum Lauenburg,354788.241587139200419,0.026620472422216
40,8,Segeberg – Stormarn-Mitte,01055,Ostholstein,655687.004044625675306,0.049197509282417
41,8,Segeberg – Stormarn-Mitte,01056,Pinneberg,561496.615803157561459,0.042130215785307
42,8,Segeberg – Stormarn-Mitte,01057,Plön,421969.068694394838531,0.031661184446127
43,8,Segeberg – Stormarn-Mitte,01060,Segeberg,983742755.228488564491272,73.812189403360634
44,8,Segeberg – Stormarn-Mitte,01062,Stormarn,346148554.906976222991943,25.972219424944026
45,8,Segeberg – Stormarn-Mitte,02000,Hamburg,879381.611925752833486,0.065981763781549
46,9,Ostholstein – Stormarn-Nord,01003,Lübeck,820566.767523043556139,0.053646786642379
47,9,Ostholstein – Stormarn-Nord,01053,Herzogtum Lauenburg,304231.982283100544009,0.019889994195836
48,9,Ostholstein – Stormarn-Nord,01055,Ostholstein,1384855761.091506481170654,90.538716026736466
49,9,Ostholstein – Stormarn-Nord,01057,Plön,1144923.113608511863276,0.074852465915834
50,9,Ostholstein – Stormarn-Nord,01060,Segeberg,1176171.523642992600799,0.076895415804109
51,9,Ostholstein – Stormarn-Nord,01062,Stormarn,139912374.235666394233704,9.147152415039457
52,10,Herzogtum Lauenburg – Stormarn-Süd,01003,Lübeck,115698.821690833879984,0.008575179496749
53,10,Herzogtum Lauenburg – Stormarn-Süd,01053,Herzogtum Lauenburg,1069158322.453120231628418,79.242159872446223
54,10,Herzogtum Lauenburg – Stormarn-Süd,01062,Stormarn,277396988.366492509841919,20.559664587221636
55,10,Herzogtum Lauenburg – Stormarn-Süd,02000,Hamburg,999358.856973594869487,0.074068875162050
56,10,Herzogtum Lauenburg – Stormarn-Süd,03353,Harburg,68098.566874112511869,0.005047220238572
57,10,Herzogtum Lauenburg – Stormarn-Süd,03355,Lüneburg,67374.366408663147013,0.004993545111271
58,10,Herzogtum Lauenburg – Stormarn-Süd,13074,Nordwestmecklenburg,511458.302992958750110,0.037907445289175
59,10,Herzogtum Lauenburg – Stormarn-Süd,13076,Ludwigslust-Parchim,911852.922781440895051,0.067583250833623
60,11,Lübeck,01003,Lübeck,210173888.006448775529861,51.907224197524535
61,11,Lübeck,01053,Herzogtum Lauenburg,191091071.278310924768448,47.194288372702516
