OID_,WKR_NR,WKR_NAME,AGS,GEN,AREA,PERCENTAGE
1,1,Flensburg - Schleswig,01001,Flensburg,56863126.441118136048317,2.673790870656946
2,1,Flensburg - Schleswig,01051,Dithmarschen,643945.288507997523993,0.030279288906109
3,1,Flensburg - Schleswig,01054,Nordfriesland,3166738.453742253594100,0.148904868537999
4,1,Flensburg - Schleswig,01058,Rendsburg-Eckernförde,2011851.778268984518945,0.094600336888278
5,1,Flensburg - Schleswig,01059,Schleswig-Flensburg,2049740223.639987707138062,96.381909335605584
6,2,Nordfriesland - Dithmarschen Nord,01051,Dithmarschen,685127319.616189122200012,24.859797152719405
7,2,Nordfriesland - Dithmarschen Nord,01054,Nordfriesland,2014719678.617936134338379,73.103963447395486
8,2,Nordfriesland - Dithmarschen Nord,01058,Rendsburg-Eckernförde,1202208.583489408949390,0.043622054857698
9,2,Nordfriesland - Dithmarschen Nord,01059,Schleswig-Flensburg,11415024.856287794187665,0.414193383179548
10,3,Steinburg - Dithmarschen Süd,01004,Neumünster,390646.021139010321349,0.019459534984782
11,3,Steinburg - Dithmarschen Süd,01051,Dithmarschen,736693288.351702451705933,36.697439733125812
12,3,Steinburg - Dithmarschen Süd,01056,Pinneberg,1519611.286673214053735,0.075697504636210
13,3,Steinburg - Dithmarschen Süd,01058,Rendsburg-Eckernförde,9527303.148233177140355,0.474590495976654
14,3,Steinburg - Dithmarschen Süd,01060,Segeberg,209393063.442607700824738,10.430649291528770
15,3,Steinburg - Dithmarschen Süd,01061,Steinburg,1046986926.766337275505066,52.154322910073084
16,4,Rendsburg-Eckernförde,01002,Kiel,2152159.588101949077100,0.099592425124578
17,4,Rendsburg-Eckernförde,01004,Neumünster,1243003.464287982555106,0.057520701592519
18,4,Rendsburg-Eckernförde,01051,Dithmarschen,1790515.366185522172600,0.082857130357375
19,4,Rendsburg-Eckernförde,01057,Plön,1495613.229414169909433,0.069210364040486
20,4,Rendsburg-Eckernförde,01058,Rendsburg-Eckernförde,2141855392.663942337036133,99.115592542875959
21,4,Rendsburg-Eckernförde,01059,Schleswig-Flensburg,7073376.644723776727915,0.327324580278393
22,4,Rendsburg-Eckernförde,01060,Segeberg,55955.446091109544795,0.002589370512275
23,4,Rendsburg-Eckernförde,01061,Steinburg,594414.067296536872163,0.027506853496137
24,5,Kiel,01002,Kiel,113882162.329365640878677,80.632190803561812
25,5,Kiel,01057,Plön,1660208.084024519659579,1.175480095096176
26,5,Kiel,01058,Rendsburg-Eckernförde,24739098.793743301182985,17.516068306431386
27,6,Plön - Neumünster,01002,Kiel,1290808.036194095155224,0.099213725761992
28,6,Plön - Neumünster,01004,Neumünster,70188030.897804513573647,5.394772773340468
29,6,Plön - Neumünster,01055,Ostholstein,3203997.596892356406897,0.246264765950342
30,6,Plön - Neumünster,01057,Plön,1071150294.690041899681091,82.330453953940633
31,6,Plön - Neumünster,01058,Rendsburg-Eckernförde,2543549.347525806631893,0.195501577578939
32,6,Plön - Neumünster,01060,Segeberg,145614873.777128547430038,11.192209645973046
33,7,Pinneberg,01056,Pinneberg,654286499.613449215888977,98.505374188849387
34,7,Pinneberg,01060,Segeberg,5469689.975268677808344,0.823483073591091
35,7,Pinneberg,01061,Steinburg,3044899.953240055125207,0.458421516321558
36,7,Pinneberg,02000,Hamburg,808000.403709008125588,0.121647599574682
37,8,Segeberg - Stormarn-Nord,01053,Herzogtum Lauenburg,1360202.038342487066984,0.102034704186504
38,8,Segeberg - Stormarn-Nord,01055,Ostholstein,4107485.103680002503097,0.308120423062426
39,8,Segeberg - Stormarn-Nord,01056,Pinneberg,363984.699170380481519,0.027304084291419
40,8,Segeberg - Stormarn-Nord,01057,Plön,3394890.411811875645071,0.254665578458429
41,8,Segeberg - Stormarn-Nord,01060,Segeberg,979876360.485747814178467,73.504811611182959
42,8,Segeberg - Stormarn-Nord,01062,Stormarn,343023499.477574110031128,25.731693021769281
43,8,Segeberg - Stormarn-Nord,02000,Hamburg,951425.221386293182150,0.071370567226930
44,9,Ostholstein,01003,Lübeck,2178997.040858632419258,0.142424008745100
45,9,Ostholstein,01053,Herzogtum Lauenburg,391324.177509449829813,0.025577803473204
46,9,Ostholstein,01055,Ostholstein,1371845503.729035615921021,89.666820264721025
